EstablishmentName,Street,Town,Postcode
Leeds College of Music,3 Quarry Hill,Leeds,LS2 7PD
Leeds Arts University,Blenheim Walk,Leeds,LS2 9AQ
Plymouth College of Art,Tavistock Place,Plymouth,PL4 8AT
Falmouth University,Woodlane,Falmouth,TR11 4RH
University of Hertfordshire,Hatfield Campus,Hatfield,AL10 9AB
University of Birmingham,Chancellors Court,Birmingham,B15 2TT
University College Birmingham,Summer Row,Birmingham,B3 1JB
"Newman University, Birmingham",Genners Lane,Birmingham,B32 3NT
Aston University,Aston Triangle,Birmingham,B4 7ET
Birmingham City University,Franchise Street,Birmingham,B42 2SU
University of Bath,Claverton Down,Bath,BA2 7AY
Bath Spa University,Newton Park,Bath,BA2 9BN
University of Bradford,Richmond Road,Bradford,BD7 1DP
Bournemouth University,Poole House,Poole,BH12 5BB
Arts University Bournemouth,Wallisdown Road,Poole,BH12 5HH
University of Bolton,Deane Road,Bolton,BL3 5AB
University of Sussex,Sussex House,Brighton,BN1 9RH
University of Brighton,Mithras House,Brighton,BN2 4AT
Ravensbourne,6 Penrose Way,London,SE10 0EW
University of the West of England,Coldharbour Lane,Bristol,BS16 1QY
University of Bristol,Senate House,Bristol,BS8 1TH
University of Cambridge,,Cambridge,CB2 1TN
University of Chester,Parkgate Road,Chester,CH1 4BJ
Anglia Ruskin University,Rivermead Campus,Chelmsford,CM1 1SQ
Writtle University College,Lordship Road,Chelmsford,CM1 3RR
University of Essex,Wivenhoe Park,Colchester,CO4 3SQ
Canterbury Christ Church University,North Holmes Road,Canterbury,CT1 1QU
University of Kent,The Registry,Canterbury,CT2 7NZ
Coventry University,Priory Street,Coventry,CV1 5FB
University of Warwick,University House,Coventry,CV4 8UW
Rose Bruford College,Lamorbey Park,Sidcup,DA15 9DF
University of Derby,Kedleston Road,Derby,DE22 1GB
University of Durham,University Office,Durham,DH1 3LE
Queen Mary and Westfield College,Mile End Road,London,E1 4NS
University of East London,4 - 6 Universtiy Way,London,E16 2RD
"City, University of London",Northampton Square,London,EC1V 0HB
London Metropolitan University,166 - 220 Holloway Road,London,N7 8DB
University of Exeter,Northcote House,Exeter,EX4 4QJ
University of Gloucestershire,The Park,Cheltenham,GL50 2RH
Royal Agricultural University,,Cirencester,GL7 6JS
University of Surrey,Stag Hill,Guildford,GU2 7XH
University for the Creative Arts,Falkner Road,Farnham,GU9 7DS
University of Huddersfield,Lockside,Huddersfield,HD1 3DH
Buckinghamshire New University,Queen Alexandra Road,High Wycombe,HP11 2JZ
University of Hull,Cottingham Road,Kingston-upon-Hull,HU6 7RX
Kingston University,River House,Kingston upon Thames,KT1 1LQ
Liverpool Hope University,Hope Park,Liverpool,L16 9JD
Liverpool John Moores University,Egerton Court,Liverpool,L3 5UX
Edge Hill University,St Helen's Road,Ormskirk,L39 4QP
University of Liverpool,The Foundation Building,Liverpool,L69 7ZX
University of Lancaster,University House,Lancaster,LA1 4YW
University of Leicester,University Road,Leicester,LE1 7RH
De Montfort University,The Gateway,Leicester,LE1 9BH
Loughborough University,Ashby Road,Loughborough,LE11 3TU
Bishop Grosseteste University,Newport,Lincoln,LN1 3DY
University of Lincoln,Vice Chancellors Office,Lincoln,LN6 7TS
Leeds Beckett University,City Campus,Leeds,LS6 3QS
Leeds Trinity University,Brownberrie Lane,Leeds,LS18 5HD
University of Leeds,The University,Leeds,LS2 9JT
Northern School of Contemporary Dance,98 Chapeltown Road,Leeds,LS7 4BH
University of Bedfordshire,Park Square,Luton,LU1 3JU
University of Manchester,Oxford Road,Manchester,M13 9PL
Royal Northern College of Music,124 Oxford Road,Manchester,M13 9RD
The Manchester Metropolitan University,All Saints Building,Manchester,M15 6BH
University of Salford,The Old Fire Station,Salford,M5 4WT
Cranfield University,Stafford Cripps Building No 41,Cranfield,MK43 0AL
The Open University,Walton Hall,Milton Keynes,MK7 6AA
Middlesex University,Bramley Road,London,N14 4XS
University of Newcastle Upon Tyne,6 Kensington Terrace,Newcastle-upon-Tyne,NE1 7RU
University of East Anglia,The Registry,Norwich,NR4 7TJ
University of Northumbria At Newcastle,Ellison Building,Newcastle-upon-Tyne,NE1 8ST
The Nottingham Trent University,Burton Street,Nottingham,NG1 4BU
University of Nottingham,University Park,Nottingham,NG7 2RD
University of Northampton,Park Campus,Northampton,NN2 7AL
Norwich University of the Arts,Francis House,Norwich,NR2 4SN
The Royal Veterinary College,Royal College Street,London,NW1 0TU
London Business School,Sussex Place,London,NW1 4SA
Royal Academy of Music,Marylebone Road,London,NW1 5HT
Central School of Speech and Drama,64 Eton Avenue,London,NW3 3HY
University of Oxford,University Offices,Oxford,OX1 2JD
Oxford Brookes University,Headington Campus,Oxford,OX3 0BP
University of Plymouth,Drake Circus,Plymouth,PL4 8AA
College of St Mark & St John,Derriford Road,Plymouth,PL6 8BH
University of Portsmouth,University House,Portsmouth,PO1 2UP
University of Chichester,Bishop Otter College,Chichester,PO19 6PE
University of Central Lancashire,Adelphi Building,Preston,PR1 2HE
University of Reading,Whiteknights House,Reading,RG6 6UR
Sheffield Hallam University,City Campus,Sheffield,S1 1WB
University of Sheffield,Western Bank,Sheffield,S10 2TN
London South Bank University,103 Borough Road,London,SE1 0AA
"King's College London, University of London",James Clark Maxwell Building,London,SE1 8WA
Trinity Laban,Laban,Deptford,SE8 3DZ
University of Greenwich,Maritime Greenwich Campus,London,SE10 9LS
"Goldsmiths, University of London",New Cross,London,SE14 6NW
Southampton Solent University,East Park Terrace,Southampton,SO14 0YN
University of Southampton,Highfield,Southampton,SO17 1BJ
University of Winchester,Sparkford Road,Winchester,SO22 4NR
University of Sunderland,"4th Floor, Edinburgh Building",Sunderland,SR1 3SD
Staffordshire University,Stafford Campus,Stafford,ST18 0YG
University of Keele,,Keele,ST5 5BG
Roehampton University,Roehampton Lane,London,SW15 5PJ
St George's Hospital Medical School,Cranmer Terrace,London,SW17 0RE
"Imperial College of Science, Technology and Medicine",Exhibition Road,London,SW7 2AZ
Royal College of Music,Prince Consort Road,London,SW7 2BS
Royal College of Art,Kensington Gore,London,SW7 2EU
Institute of Cancer Research,Royal Cancer Hospital,London,SW3 6JB
Harper Adams University,,Newport,TF10 8NB
Teesside University,Borough Road,Middlesbrough,TS1 3BA
"St Mary's University, Twickenham",Waldegrave Road,Twickenham,TW1 4SX
Royal Holloway and Bedford New College,Egham Hill,Egham,TW20 0EX
Brunel University,Kingston Lane,Uxbridge,UB8 3PH
University of Westminster,309 Regent Street,London,W1W 6XH
The Royal College of Nursing,20 Cavendish Square,London,W1G 0RN
University of the Arts London,272 High Holborn,London,WC1V 7EY
University of West London,Room Tc 203,London,W5 5RF
University College London,Gower Street,London,WC1E 6BT
London School of Hygiene & Tropical Medicine,Keppel Street,London,WC1E 7HT
University of London,Senate House,London,WC1E 7HU
Birkbeck College,Malet Street,London,WC1E 7HX
Institute of Education,20 Bedford Way,London,WC1H 0AL
School of Oriental and African Studies,Thornhaugh Street,London,WC1H 0XG
Conservatoire for Dance and Drama,1 - 7 Woburn Walk,London,WC1H 0JJ
London School of Economics and Political Science,Houghton Street,London,WC2A 2AE
University of Worcester,Henwick Grove,Worcester,WR2 6AJ
University of Wolverhampton,Wulfruna Street,Wolverhampton,WV1 1LY
University of York,Heslington,York,YO10 5DD
York St John University,Lord Mayor's Walk,York,YO31 7EX
Courtauld Institute of Art,Somerset House,London,WC2R 0RN
University of Cumbria,Paternoster Row,Carlisle,CA3 9AY
Heythrop College,Kensington Square,London,W8 5HQ
Guildhall School of Music and Drama,Silk Street,London,EC2Y 8DT
Liverpool Institute of Performing Arts,Mount Street,Liverpool,L1 9HF
University of Buckingham,Hunter Street,Buckingham,MK18 1EG
University of Suffolk,Waterfront Building,Ipswich,IP4 1QJ
